Allan Hancock	Antelope Valley	Barstow 	Butte-Glenn 	Cabrillo 	Cerritos 	Chabot-Las Positas 	Chaffey 	Citrus 	Coast 	Compton	Contra Costa 	Copper Mountain 	Desert 	El Camino 	Feather River 	Foothill-De Anza 	Gavilan 	Glendale 	Grossmont-Cuyamaca 	Hartnell	Imperial 	Kern	Lake Tahoe 	Lassen 	Long Beach 	Los Angeles 	Los Rios 	Marin	Mendocino-Lake 	Merced 	Mira Costa	Monterey 	Mt San Antonio 	Mt San Jacinto 	Napa 	North Orange 	Ohlone 	Palo Verde 	Palomar 	Pasadena 	Peralta 	Rancho Santiago 	Redwoods	Rio Hondo 	Riverside 	San Bernardino 	San Diego 	San Francisco 	San Joaquin Delta 	San Jose-Evergreen 	San Luis Obispo 	San Mateo 	Santa Barbara 	Santa Clarita 	Santa Monica 	Sequoias 	Shasta-Tehama-Trinity 	Sierra 	Siskiyous 	Solano 	Sonoma 	South Orange  	South-western 	State Center 	Ventura 	Victor Valley 	West Hills 	West Kern 	West Valley Mission 	Yosemite 	Yuba 
63820	64886.74	63484	62938.76	63185	74285	65864	63096	64972	70975	82422	69108	56997.65	72925.475	74111	63993	69284.8	69015	71356	62330	61378	62433	81529.62	62239	55540	75281.11114	67780	59404	64756	65610	57792	81352	61787	74600	75252.754	52131	72929	72183	60927	71004.41	74619.1	68878	69040.89	54286.3539	64115	75944	63118.2	69258.8	63841.63	64526	75380	55058	72624	65152	67092	67391	70632.81	59059.78	48259.11	59360	57959	73001	83100	64130	67424	63376	65776	72174	71012	71319	62936	63860
65991	67405.13	65774	65601.13	65161	77442	68825	65939	64972	73504	86712	69108	59420.04	75949.125	76829	66620	72339.5	71518	74066	63950	64119	64306	83567.86	64484	58193.7572	77796.00912	70220	61780	67148	68188	60110	85204	64102	77211	77510.333	55207	72929	74896	62755	73909.17	74619.1	71318	71534.01	56458.3338	67048	78874	65270.52	71163.4	66509.61	67647	78258	57585	75996	67221	69948	69743	72802.8	61736.7	50672.07	61199	59957	75154	85618	66438	70216	65810	68098	74354	73767	73816	65495	66144
68233	69921.83	68064	68258.18	67773	80595	71786	68783	64972	76025	88193	69108	61945.39	79105.25	79553	69174	75394.2	74024	76838	65613	66859	66236	85657.06	66729	60979.54212	80315.7458	72740	64251	69540	70767	62418	89053	66430	79913	79835.555	58327	72929	77609	64638	76817.31	74619.1	73746	74038.58	58715.7471	69964	81794	67410.45	73120.4	69180.64	70716	81135	60073	79320	69291	72840	72096	75223.74	64411.05	53205.67	63099	61956	77307	88136	68744	73003	68249	70421	76538	76524	76398	68057	68427
70554	72440.32	70354	70916.57	70383	83748	74749	71627	67852	78557	89714	71808	64578.07	82391.925	82286	71733	78448.9	76516	79744	67319	69600	68224	87798.48	68974	63904.46395	82832.68383	75360	66821	71932	73344	64738	92905	68748	82711	82230.613	61477	75832	80322	66577	79720.29	74619.1	76255	76542.1	61065.1656	72895	84713	69564.54	75131.2	71848.62	73637	84010	62563	82692	71360	75720	74448	77646.04	67086.68	55865.95	65053	63954	79460	90654	71052	75789	70686	72743	78719	79279	79072	70617	70710
72954	74959.41	72644	73577.62	72993	86904	77708	74470	70736	81080	91209	74508	67322.64	85820.875	84998	74361	81503.5	79025	82772	69069	72340	70271	89993.44	71219	66975.63187	85347.70483	78080	69494	74324	75923	67058	96755	71072	84277	84697.521	64644	78729	83035	68574	82624.85	74619.1	78700	79048.75	63507.6846	75829	87630	71711.55	77197.4	74521.68	76756	86892	65069	86040	73429	78588	76799	80182.41	69761.01	58659.25	67071	65952	81613	93172	73357	78578	73124	75065	80903	82034	81841	73178	72993
75433	77477.8	74934	76234.7	75607	90063	80669	77314	73615	83607	92157	77256	70183.85	89391.925	87720	76922	84558.1	81529	85917	70865	75081	72380	92243.28	73464	70199.13947	87865.2682	80890	72274	76716	78500	69468	100607	73386	87752	87238.443	67812	81629	85748	70631	85529.6	74619.1	81142	81548.11	66047.6853	78758	90558	73849.71	79320.3	77190.68	79774	89757	67582	89400	75499	81456	79150	82490.62	72437.94	61592.21	69149	67950	83766	95691	75665	81342	75561	77387	83085	84791	84704	75735	75276
77997	79996.28	77224	78887.8	78218	93218	83629	80158	76498	86130	93107	79872	73166.67	93116.625	90443	79472	87612.9	84025	89189	72707	77821	74552	94549.37	75709	73584.12712	90382.46252	83800	75165	79108	81077	71882	104452	75722	91205	89855.701	70964	84528	88461	72750	88434.17	77526.2	83617	84044.35	68689.5489	81693	93478	76002.03	81501.6	79860.69	82794	92646	70087	92760	77568	84348	81502	84569.37	75112.3	64671.82	71292	69948	85919	98209	77972	84159	77997	79710	85269	87546	87670	78297	77560
80649	82515.4	79514	81554.12	80826	96374	86592	83003	79377	88661	94056	82536	76276.25	96999	93163	82104	90667.5	86536	92584	74598	80562	76789	96913.1	77955	77134.65723	92900.03614	86820	78171	81500	83656	74316	108308	78042	94725	92551.308	74088	87427	91174	74933	91337.14	80433.4	86092	86545.8	71437.6566	84608	96404	78143.73	83742.9	82530.7	85815	95524	72595	96120	82179	87216	91285	87105.71	77787.91	67905.41	73504	71947	88072	100727	80281	86948	80440	82032	87452	90301	90739	80856	79843
83391	85034.12	81804	84212.54	83440	99529	89551	85846	82258	91181	95018	85260	79518	101048.325	95894	84673	93722.2	89034	96118	76537	83302	79093	99335.93	80200	80870.02615	95417.09718	89940	81298	83892	86234	76745	112157	80368	98256	95327.862	77162	90321	93887	77181	94245.3	83340.5	88568	89048.28	74295.2943	87540	99324	80294.28	86045.8	85199.7	88833	97435	75098	99480	84415	90096	93640	89526.68	80463.56	71300.68	75783	73945	90225	103245	82586	89741	82874	84355	89639	93058	93914	83417	82126
84725	87550.46	84094	86872.26	86048	102680	92512	87500	85138	93703	95966	87960	82897.51	105266.7	98610	87232	96776.7	91530	99799	78527	86043	81466	101819.33	82445	84752.65676	99157.22369	93180	84550	86284	88810	79176	116007	82689	101710	98187.667	80171	93223	96600	79496	97149.88	86247.8	91044	91548.69	77266.8432	90473	102239	82437.75	88412.1	87872.76	91851	99593	77602	99480	86777	92988	95990	91468.52	83137.87	74865.71	78132	75943	92378	105763	84894	92526	85311	86676	91818	95813	97200	85976	84409
86081	90069.32	86384	89629.89	87519	105841	95473	89155	88021	96233	96955	90540	86420.65	109665.85	101331	89856	99831.4	94032	99799	80569	88783	83910	104364.82	84690	84752.65676	101370.1945	96530	87932	88676	91390	81623	119861	84878	105208	101133.284	83098	96121	99313	81245	100054.8	89154.9	93519	94052.22	80357.7798	93392	105166	84535.2	90843.4	90537.69	94872	101796	80115	102816	89164	95832	98341	93889.46	85813.51	78609	80554	77941	94531	108281	87201	95311	87748	88999	94001	96571	100604	88537	86692
87458	92586.61	88674	92190.36	88990	108995	98431	90809	90902	98752	97956	93240	90093.53	114254.875	99775	92406	102886.1	96538	99799	82664	91524	86428	106973.94	86935	84752.65676	101875.6857	100010	91449	91068	93967	84067	123710	87334	108683	104167.285	85924	99019	102026	83033	102957.61	92062.3	96004	96556.77	83571.39	96320	108084	86689.29	93341.6	93211.77	97938	106416	82626	102816	91571	98724	100693	96199.03	88489.14	82539.45	83050	79939	96683	110800	89508	98108	90185	91322	96192	99216	104122	89335	88975
88856	95106.79	90964	94847.44	90462	108995	101395	92463	93781	101283	98955	95976	93922.51	114254.875	102741	93667	105940.8	99038	102665	84813	94264	89021	109648.29	89180	84752.65676	102381.1667	103610	95107	93460	96546	86533	127559	89650	112181	107292.406	88629	101917	104739	84859	105862.33	92062.3	98490	99056.14	86914.2456	99255	110999	88896.48	95908.5	95878.73	101006	106416	85124	102816	93979	101616	103045	98619.99	88489.14	86666.42	85626	81938	98836	113318	91817	100890	92621	93644	98369	99988	104122	90131	91259
90279	95106.79	93254	94847.44	91930	110572	104356	94120	96662	101283	99944	95976	97914.21	114254.875	102741	94784	108940.8	101541	102665	87018	97005	91692	112389.5	91425	84752.65676	102886.5246	103610	98911	95852	99125	89003	131409	89650	112181	110511.066	91199	101917	107452	86726	106589.73	92062.3	100974	101556.54	90390.7278	102185	110999	91160.31	98546	98547.73	104075	108916	87693	107172	95790	104484	105396	101405.95	88489.14	90999.74	88279	83936	100989	115836	94121	100890	95059	95967	100547	100760	104122	90930	93542
91723	97625.18	95544	94847.44	93406	110572	107317	95774	96662	105116	100932	95976	97914.21	114254.875	102741	95585	108940.8	104043	102665	89281	99745	94443	115199.24	93670	86786.89926	103392.0158	103610	102868	98244	101700	89003	135254	89650	112181	113826.522	93616	101917	110165	88634	107315.51	94969.6	103460	101556.54	94006.3131	102185	112390	93479.01	101256	101216.73	106677	108916	87693	107172	96693	106308	107748	103463.23	91142.87	94639.7296	91016	85934	103142	118354	96430	100890	97496	98288	102727	101532	107767	91727	95825
93192	100144.04	97834	99457.53	94450	112148	107317	97430	96662	105116	101932	98556	97914.21	114254.875	102741	95585	108940.8	106543	105621	91602	102486	97277	115199.24	95915	86786.89926	104908.0897	106080	94668	100636	104279	89893	136017	89650	112181	117241.315	95863	104818	112878	90584	108040.98	94969.6	105945	101556.54	95886.9432	102185	113778	95059.62	104040.5	103887.76	106677	108916	92077	107172	98703	108144	110100	103463.23	91142.87	94639.7296	93837	89143	105295	120872	98736	100890	100420.92	100611	104903	101532	107767	92525	98108
94682	100144.04	100124	99457.53	95495	112148	107317	99083	99543	108948	102946	98556	97914.21	114254.875	105430	95585	108940.8	109050	105621	92884	105226	100196	115199.24	98160	86786.89926	105920.2408	106080	94668	103028	104279	89893	136780	89650	112181	117241.315	95863	104818	115591	92577	108768.68	94969.6	108430	105304.04	97804.8135	102185	113778	96665.01	106901.6	103887.76	109279	111476	92077	107172	98703	109968	112452	103463.23	91142.87	94639.7296	96652	92353	105295	123390	98736	103683	100420.92	102933	107092	102547.32	107767	93321	100391
96196	100144.04	102414	99457.53	96539	113727	107317	100739	99543	108948	103935	98556	97914.21	114254.875	105430	95585	112690.8	111546	105621	93381	107967	103202	115199.24	100405	88868.87487	106556.5821	106080	94668	105420	104279	91482	137545	91972	115700	117241.315	85958	107717	118304	94613	109496.11	97877	110916	105304.04	99761.0193	105120	113778	98298.72	109841.4	106557.77	109279	111476	92077	111672	98703	111792	114803	103463.23	93876.5	94639.7296	96652	92353	105295	125908	98736	103683	100420.92	105256	109282	102547.32	111540	94120	102675
97735	102663.12	104704	99457.53	97583	113727	107317	101418	99543	108948	104935	101316	97914.21	114254.875	105430	95585	112690.8	114046	108664	93881	107967	103202	115199.24	102651	88868.87487	107544.1296	108610	94668	107812	104279	91482	138308	91972	115700	117241.315	85958	107717	121017	96695	110225.27	97877	113401	105304.04	101755.5606	105120	116553	99957.21	112862.1	106557.77	111881	114095	96681	111672	101171	113616	117153	105418.49	93876.5	94639.7296	96652	92353	105295	128427	102030	103683	100420.92	107578	111471	102547.32	111540	94916	104958
99300	102663.12	106994	104067.62	98632	115305	110278	102098	102423	112778	106196	101316	97914.21	114254.875	105430	95585	112690.8	114046	108664	94383	107967	103202	115199.24	104896	88868.87487	109164.6867	108610	106983	110204	104279	91482	139073	91972	115700	117241.315	85958	110611	123730	98823	110951.07	97877	113401	109060.87	103790.628	105120	116553	101645.79	112862.1	106557.77	111881	114095	96681	111672	101171	115452	119507	105418.49	93876.5	98425.31878	96652	93853	109849	130945	102030	103683	100420.92	109900	113660	102547.32	111540	95714	104958
100889	102663.12	106994	104067.62	99674	115305	110278	102779	102423	112778	107300	101316	97914.21	114254.875	108121	95585	112690.8	114046	108664	94888	107967	103202	115199.24	104896	91002.64597	109164.6867	108610	106983	112596	105779	91482	139837	94302	119219	117241.315	88158	110611	126443	100996	111676.68	100784.2	113401	109060.87	105866.2215	108055	116553	103360.92	112862.1	106557.77	111881	114095	96681	111672	101171	117276	121860	105418.49	96693.9	98425.31878	96652	93853	109849	133463	102030	106469	101883.37	109900	115849	107167	115443	96511	104958
101897.89	102663.12	106994	104067.62	100720	116883	110278	110255	102423	112778	108405	104028	97914.21	114254.875	108121	95585	116940.8	116608	111798	95396	107967	103202	115199.24	104896	91002.64597	109164.6867	111210	106983	114988	105779	94133	140599	94302	119219	117241.315	88158	113513	126443	100996	112404.25	100784.2	113401	109060.87	105866.2215	108055	119329	105106.14	112862.1	106557.77	111881	114095	101515	111672	101171	119100	124213	105418.49	96693.9	98425.31878	96652	93853	109849	135981	105381	106469	101883.37	109900	118037	109310.34	115443	97309	107241
102916.8689	105179.7	106994	104067.62	101764	116883	110278	110255	105304	116611	109512	104028	97914.21	114254.875	108121	95585	116940.8	116608	111798	95906	107967	103202	115199.24	104896	91002.64597	109164.6867	111210	106983	117380	105779	94133	141364	94302	119219	117241.315	88158	113513	126443	100996	113130.02	100784.2	113401	112814.6	105866.2215	108055	119329	106881.45	112862.1	106557.77	111881	114095	101515	115068	103637	120936	124213	107372.44	96693.9	98425.31878	96652	93853	109849	138499	105381	106469	101883.37	109900	120398	109310.34	115443	98106	107241
103946.0376	105179.7	106994	108677.71	102808	118459	110278	110255	105304	116611	110616	104028	97914.21	114254.875	108121	95585	116940.8	116608	111798	96419	107967	103202	115199.24	104896	91002.64597	109164.6867	111210	106983	119772	105779	94133	142128	96624	119219	117241.315	91672	113513	126443	100996	113857.43	103691.6	113401	112814.6	105866.2215	108055	119329	108686.85	112862.1	106557.77	111881	114095	101515	115068	103637	122760	124213	107372.44	99595.08	102362.3315	96652	93853	114402	138499	105381	106469	101883.37	109900	122806	109310.34	119484	98905	107241
104985.498	105179.7	106994	108677.71	103850	118459	113241	110255	105304	116611	111721	104028	97914.21	114254.875	110808	95585	116940.8	116608	115026	96935	107967	103202	115199.24	104896	91002.64597	109164.6867	113860	106983	119772	105779	94133	142892	96624	119219	117241.315	91672	116412	128971.86	100996	114585.02	103691.6	113401	112814.6	105866.2215	108055	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	103637	124584	124213	107372.44	99595.08	102362.3315	96652	95353	114402	138499	108784	109259	101883.37	109900	125262	109310.34	119484	99702	109524
106035.3529	107697.71	106994	108677.71	105834	120036	113241	110255	108185	120442	111721	104028	97914.21	114254.875	110808	95585	121440.8	116608	115026	97454	107967	103202	115199.24	104896	91002.64597	109164.6867	113860	106983	119772	107279	96859	143655	96624	122738	117241.315	91672	116412	128971.86	100996	115043.92	103691.6	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	106105	126408	124213	107372.44	99595.08	102362.3315	96652	95353	114402	141017	108784	109259	103345.83	109900	125262	109310.34	119484	100500	109524
107095.7065	107697.71	106994	108677.71	105834	120036	116203	110255	108185	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	115026	97975	107967	103202	115199.24	104896	91002.64597	109164.6867	113860	106983	119772	107279	96859	144419	98940	122738	117241.315	91672	116412	128971.86	100996	115500.87	106598.5	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	106105	128244	124213	109475.32	102582.96	102362.3315	96652	95353	114402	141017	108784	109259	103345.83	109900	125262	115868.9604	123665	101297	109524
108166.6635	107697.71	106994	108677.71	105834	121611	116203	110255	108185	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	98499	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	96859	145183	98940	122738	117241.315	91672	116412	128971.86	100996	115959.64	106598.5	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	106105	128244	124213	109475.32	102582.96	102362.3315	96652	95353	118956	141017	108784	109259	103345.83	109900	125262	115868.9604	123665	102095	109524
109248.3302	107697.71	106994	108677.71	105834	121611	116203	110255	111065	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	99026	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	96859	145948	98940	122738	117241.315	91672	116412	128971.86	100996	116418.52	106598.5	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	108572	128244	124213	109475.32	102582.96	102362.3315	96652	95353	118956	141017	108784	109259	103345.83	109900	125262	115868.9604	123665	102891	111807
110340.8135	107697.71	106994	108677.71	105834	121611	119165	110255	111065	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	99556	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	99668	146711	98940	122738	117241.315	91672	116412	128971.86	100996	116877.27	109505.7	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	108572	128244	124213	109475.32	102582.96	102362.3315	96652	96853	118956	141017	108784	112043	103345.83	109900	125262	115868.9604	127993	103694	111807
111444.2216	107697.71	106994	108677.71	105834	121611	119165	110255	111065	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	99556	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	99668	146711	98940	126257	117241.315	91672	116412	128971.86	100996	117336.21	109505.7	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	108572	128244	124213	112314.99	102582.96	102362.3315	96652	96853	118956	141017	108784	112043	104808.29	109900	125262	115868.9604	127993	103694	111807
111444.2216	107697.71	106994	108677.71	105834	121611	119165	110255	113945	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	99556	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	99668	146711	98940	126257	117241.315	91672	116412	128971.86	100996	117791.34	109505.7	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	111040	128244	124213	112314.99	102582.96	102362.3315	96652	96853	118956	141017	108784	112043	104808.29	109900	125262	115868.9604	127993	103694	111807
111444.2216	107697.71	106994	108677.71	105834	121611	119165	110255	113945	120442	111721	104028	97914.21	114254.875	113498	95585	121440.8	116608	118352	99556	107967	103202	115199.24	104896	91002.64597	109164.6867	116580	106983	119772	107279	99668	146711	98940	126257	117241.315	91672	116412	128971.86	100996	118250.12	112412.5	113401	112814.6	105866.2215	110988	119329	108686.85	112862.1	106557.77	114482	114095	101515	118524	111040	128244	124213	112314.99	102582.96	102362.3315	96652	96853	118956	141017	108784	112043	104808.29	109900	125262	115868.9604	132474	103694	111807
